eleves;ORTH;GRAM;EXPR;RECI;MATH;ANGL;HIST;BIOL;EDMU;ARTS;TECH;EPS;GEO;EXPO
EL01;13.00;10.00;2.00;4.00;9.00;9.00;8.00;7.00;7.50;1.50;14.00;10.00;10.50;13.00
EL02;6.50;8.00;8.50;14.00;13.00;7.00;11.00;8.50;16.00;4.00;18.00;18.00;16.00;15.00
EL03;14.00;6.50;8.00;5.00;11.00;8.00;9.50;8.00;18.50;9.50;14.00;16.50;14.00;13.00
EL04;13.00;7.50;9.00;5.00;10.00;10.50;10.00;16.00;16.00;11.50;0.00;11.50;15.00;18.00
EL05;15.00;7.50;10.00;14.00;12.00;11.00;9.00;11.00;16.50;13.50;16.00;13.00;15.51;17.00
EL06;5.00;8.00;5.50;6.50;16.00;12.00;9.00;7.00;13.50;5.00;16.00;12.50;13.00;17.50
EL07;12.00;6.50;9.00;16.00;18.00;13.50;9.00;10.00;15.00;11.00;16.00;13.50;14.00;18.00
EL08;8.50;2.50;9.00;13.00;12.00;9.50;12.00;13.50;16.50;8.00;13.00;12.00;14.00;17.00
EL09;15.50;7.50;12.50;16.00;15.00;13.00;12.00;13.50;17.00;14.00;15.00;16.00;15.00;17.00
EL10;20.00;14.50;16.50;10.00;18.00;16.50;15.00;10.50;18.00;13.50;12.00;14.50;13.00;15.00
EL11;6.00;4.00;11.00;9.50;13.00;12.00;11.00;7.50;17.50;12.00;18.00;13.50;13.00;17.00
EL12;0.00;5.50;6.00;6.00;9.00;3.00;7.00;2.00;12.00;1.50;15.00;12.50;14.00;0.00
EL13;15.50;12.00;12.00;8.00;17.00;17.00;11.00;4.50;16.00;9.00;13.00;5.00;12.50;16.50
EL14;15.00;6.50;11.50;10.00;13.00;12.50;7.00;11.00;14.00;7.00;14.00;11.00;15.00;13.00
EL15;11.00;9.00;7.50;11.00;12.50;11.00;9.00;11.50;18.00;8.50;17.00;15.00;15.00;15.00
EL16;6.50;9.00;10.00;10.00;10.00;6.50;7.00;12.50;18.00;14.50;16.00;13.50;13.00;18.00
EL17;7.00;4.50;6.00;6.00;15.00;13.50;11.00;7.00;7.00;6.50;11.00;10.50;13.50;16.00
EL18;11.50;8.50;7.50;12.00;10.00;7.50;8.00;10.00;17.50;7.00;11.00;16.50;15.50;14.00
EL19;4.50;7.50;9.00;12.00;12.00;9.00;7.00;11.50;17.00;12.50;12.00;16.00;13.00;18.00
EL20;5.50;8.50;8.00;11.00;10.00;12.00;8.00;7.50;12.00;5.00;18.00;10.50;13.00;15.00
EL21;16.00;13.50;14.50;9.50;16.00;17.00;11.50;12.50;19.00;13.50;6.00;11.00;16.00;16.00
EL22;5.50;2.00;7.50;14.50;11.00;10.00;7.00;8.00;15.50;8.50;16.00;13.50;13.00;15.00
EL23;14.00;8.00;6.50;6.50;10.00;14.50;9.00;5.00;9.50;3.50;0.00;18.50;13.00;0.00
EL24;5.50;8.00;4.50;15.00;8.00;7.50;5.00;5.00;13.50;8.00;6.00;9.00;0.00;13.00
EL25;11.00;4.00;10.50;6.00;11.00;12.00;9.00;17.00;14.00;12.50;8.00;10.50;17.50;15.00
EL26;4.50;7.00;10.50;11.50;14.00;8.50;7.50;7.00;18.00;14.00;13.00;15.50;18.00;13.00
EL27;9.00;8.50;7.50;10.00;14.00;11.50;9.00;15.00;17.50;9.00;13.00;13.50;17.50;16.00
